Place Name,Address,City,Zip,State,Place ID,Longitude,Latitude,Status,Last Contacted,Contact Name,Email/Contact,Phone Number,Booking Contact,Contact Type,Priority,Next Follow Up,Past Gigs,Future Gigs,Last Played,Next Booked,Past Gig Count,Future Gig Count,Total Gig Count,Last Synced,Venue Type,Website,Notes
Downtown Heck's Taproom,43 Lincoln Way E,Massillon,44646,OH,downtown-heck-s-taproom-massillon-oh-44646,-81.522445,40.796609,Open Microphone,Tue Dec 12 2023 00:00:00 GMT-0500 (Eastern Standard Time),"Matthew Heck, Jamie Kiko",hecksdowntown@gmail.com,330-209-8630,,stop,4,,,,,,,,1,2026-05-07T04:36:16.000Z,Other Venue,,Open microphone
Dragonfly Winery,215 Market St W,Canal Fulton,44614,OH,dragonfly-winery-canal-fulton-oh-44614,-81.600305,40.889498,Open Microphone,Wed Dec 11 2024 00:00:00 GMT-0500 (Eastern Standard Time),Sean Craney,thedragonflywinery@att.net,330-854-4832,,stop,2,,,,,,,,1,2026-05-07T04:36:16.000Z,Winery,,Open microphone
Driftwood Point Beach Bar and Grill,6827 Lake Rd W,Geneva,44041,OH,driftwood-point-beach-bar-and-grill-geneva-oh-44041,-81.001688,41.85274,Not Contacted Yet,Sat Mar 08 2025 00:00:00 GMT-0500 (Eastern Standard Time),Jacob,,440-789-9096,,,,,,,,,,,1,2026-05-07T04:36:16.000Z,Restaurant,,
Dunlaps Corner Bar,3258 W 32nd St,Cleveland,44109,OH,dunlaps-corner-bar-cleveland-oh-44109,-81.704289,41.46538,Needs Review,,,,216-417-2203,,,,,,,,,,,,,Pub/Bar,,
Dusty's Yacht Club,4764 Dustys Rd,Akron,44319,OH,dusty-s-yacht-club-akron-oh-44319,-81.546277,40.973102,Not Contacted Yet,1204/2024,Andrea Noris stop by w card and have it go in money bag,,330-644-5666,,,2,,,,,,,,1,2026-05-07T04:36:16.000Z,Other Venue,,
Eastland Inn Restaurant and Tavern,33 Eastland Rd,Berea,44017,OH,eastland-inn-restaurant-and-tavern-berea-oh-44017,-81.844341,41.362238,Not Contacted Yet,Tue Mar 12 2024 00:00:00 GMT-0400 (Eastern Daylight Time),June,,440-625-0040,,Call end of Oct.,2,,,,,,,,3,2026-05-07T04:36:16.000Z,Restaurant,https://www.eastlandinn.com/,
El Patron,54 E Mill St,Akron,,OH,el-patron-akron-oh,-81.516883,41.082214,Needs Review,01/14/2024,,tequila@elpatrontequileria.com,234-231-1665,,Email,2,,,,,,,,1,2026-05-07T04:36:16.000Z,Other Venue,,
Element 41,141 Main St,Chardon,44024,OH,element-41-chardon-oh-44024,-81.204293,41.581472,Needs Review,Fri Oct 10 2025 00:00:00 GMT-0400 (Eastern Daylight Time),,,440-214-9011,,email Julie,,,,,,,,,,,Other Venue,,
Eleventhree Brewing,211 Cherry Ave unit 3,Chardon,44024,OH,eleventhree-brewing-chardon-oh-44024,-81.212725,41.582227,Needs Review,,,,,,,,,,,,,,,,,Brewery,,
Emerine Estates Winery,5689 Loveland Rd,Jefferson,44047,OH,emerine-estates-winery-jefferson-oh-44047,-80.685214,41.595406,Needs Review,,,,440-293-8199,,,1,,,,,,,,,,Winery,http://www.emerineestates.com/,
ESP Brewing,8055 Leavitt Road,Amherst,,OH,esp-brewing-united-states-oh,-82.210209,41.374973,Played in the Past,12/24/2023,Michele Esper/ call 3rd week in Jan.,michele@espbrewingco.com,440-370-3063,,email,1,,2024-08-31 | COMPLETED | Live Music with Just Dee Dee | 8055 Leavitt Road; 2025-01-10; 2025-01-10 7:00pm ET | COMPLETED | ESP Brewing | 50i3rf8dbadrscgq8a3i5geth9@google.com; Amherst; OH; Ohio 44001 | historical-2024-08-31-esp-brewing-live-music-with-just-dee-dee-47; United States,,United States,,7,0,7,Fri May 08 2026 00:58:22 GMT-0400 (Eastern Daylight Time),Brewery,http://www.espbrewingco.com/,
Factory Street Pub & Grill,205 N Tuscarawas Ave,Dover,44622,OH,factory-street-pub-and-grill-dover-oh-44622,-81.478283,40.519316,Needs Review,,,,330-364-9764,,,,,,,,,,,,,Restaurant,,
Falls Outdoor Company,1727 Front St,Cuyahoga Falls,44221,OH,falls-outdoor-company-cuyahoga-falls-oh-44221,-81.48503,41.12833,Not Contacted Yet,05/16/2024,JT,,330-846-1145,,stop,2,,,,,,,,1,2026-05-07T04:36:16.000Z,Other Venue,http://www.fallsoutdoorcompany.com/,
Ferrante Winery & Ristorante,5585 N River Rd W,Geneva,44041,OH,ferrante-winery-and-ristorante-geneva-oh-44041,-80.95079,41.759549,Not Contacted Yet,Sat Mar 09 2024 00:00:00 GMT-0500 (Eastern Standard Time),Jan Paden,Jan@FerranteWinery.com,440-466-8466,,Email card,,,,,,,,,3,2026-05-07T04:36:16.000Z,Winery,http://www.ferrantewinery.com/,
Filia Cellars 3059 Greenwich Rd,Wadsworth,OH 44281,,OH,filia-cellars-3059-greenwich-rd-wadsworth-oh-44281,-81.799138,41.025118,Not Contacted Yet,08/19/2025,Mitch and Lisa,lisa@filiacellars.com,330-331-7522/440-781-9829,,email/stop,2,,,,,,,,,,Other Venue,,
Finny's on the Towpath,2759 Manchester Rd,Akron,44319,OH,finny-s-on-the-towpath-akron-oh-44319,-81.549492,41.02401,Not Contacted Yet,07/25/2025,Greg Finefrock owner,,234-231-1541,,,4,,,,,,,,,,Other Venue,,
Finny’s Sports Bar and Grill,4050 S Cleveland Massillon Rd,Norton,44203,OH,finny-s-sports-bar-and-grill-norton-oh-44203,-81.638245,41.028794,Not Contacted Yet,Fri Apr 12 2024 00:00:00 GMT-0400 (Eastern Daylight Time),Greg,,234-678-0738,,,4,,,,,,,,,,Restaurant,,
Fire & Ice,1941 Triplett Blvd,Akron,44312,OH,fire-and-ice-akron-oh-44312,-81.457472,41.043425,Needs Review,,,,234-525-0942,,,,,,,,,,,,,Other Venue,,
Firehouse Grill,122 N Reed Ave,Malvern,44644,OH,firehouse-grill-malvern-oh-44644,-81.180249,40.689931,Needs Review,,,,330-863-1939,,,4,,,,,,,,,,Restaurant,http://www.firehousegrillmalvern.com/,
Firehouse Tavern,1442 S Cleveland Massillon Rd,Copley,44321,OH,firehouse-tavern-copley-oh-44321,-81.644694,41.09863,Not Contacted Yet,12/20/2023,Minika,firehousetavern@yahoo.com,330-333-8857,,email,3,,,,,,,,1,2026-05-07T04:36:16.000Z,Pub/Bar,,
Firelands Winery & Restaurant,917 Bardshar Rd,Sandusky,44870,OH,firelands-winery-and-restaurant-sandusky-oh-44870,-82.772529,41.435484,Not Contacted Yet,08/25/2025,Lemming,Messenger and pm,419-625-5474,,,,,,,,,,,,,Winery,,
Firestone Country Club,452 East Warner Road,Akron,44319,OH,firestone-country-club-akron-oh-44319,-81.509651,41.008356,Needs Review,,,firestone@clubcorp.com,330-644-8441,,,2,,,,,,,,,,Other Venue,,
First & Main Development,43 Village Way,Hudson,44236,OH,first-and-main-development-hudson-oh-44236,-81.444584,41.241215,Needs Review,,,,216-340-7645,,,,,,,,,,,,,Other Venue,,
Fishers Cafe and Pub,1607 Main Street St,OH-303,,OH,fishers-cafe-and-pub-peninsula-oh-44264,-81.548619,41.241275,Not Contacted Yet,05/18/2024,Cindy Scaffaro/Ritch,Vacation until Feb. 9,415-635-9305 330-657-2651,,stop,3,,,,,,,,4,2026-05-07T04:36:16.000Z,Coffee Shop,https://www.fisherscafe.com/,Spoke w Gabby Contact 11:AM mon
Flighthouse,2330 Bright Rd,Findlay,45840,OH,flighthouse-findlay-oh-45840,-83.61724,41.060876,Needs Review,,,,419-618-0383,,,,,,,,,,,,,Other Venue,,
Fort's Old Town Tavern,122 W Herrick Ave,Wellington,44090,OH,fort-s-old-town-tavern-wellington-oh-44090,-82.218109,41.168628,Needs Review,,,,440-647-3520,,,,,,,,,,,,,Pub/Bar,,
Fossil Creek Wine,5807 S Madison Rd,Madison,44057,OH,fossil-creek-wine-madison-oh-44057,-81.050794,41.718223,Not Contacted Yet,Fri Oct 10 2025 00:00:00 GMT-0400 (Eastern Daylight Time),tt kevin\gave him information,,440-298-6100,,,,,,,,,,,,,Winery,,
Foundry Social,333 Foundry St,Medina,44256,OH,foundry-social-medina-oh-44256,-81.872929,41.142046,Not Contacted Yet,Fri Feb 09 2024 00:00:00 GMT-0500 (Eastern Standard Time),Laurin,LaurinJ@highvoltagekarting.com,330-333-9000,,stop,4,,,,,,,,4,2026-05-07T04:36:16.000Z,Other Venue,http://thefoundrysocial.com/,
Franklin Brewing,516 Main St,Grafton,44044,OH,franklin-brewing-grafton-oh-44044,-82.063675,41.282065,Told No / Closed / No Music,Wed Sep 10 2025 00:00:00 GMT-0400 (Eastern Daylight Time),Aaron / Howard,sales@franklinbrewing.co,440-406-2459,,,5,,,,,,,,,,Brewery,http://www.franklinbrewing.co/,Previous CRM status: Closed and Not Booking
Front St Social,107 Front St,Berea,44017,OH,front-st-social-berea-oh-44017,-81.853169,41.368204,Open Microphone,10-17-2024,Liz's,yo@frontst.social,440-403-9357,,stop/fb messenger,2,,,,,,,,2,2026-05-07T04:36:16.000Z,Other Venue,,Open microphone
Frostville Museum Farmers Market,24101 Cedar Point Rd,North Olmsted,44070,OH,frostville-museum-farmers-market-north-olmsted-oh-44070,-81.88985,41.406305,Played in the Past,,,,330-592-6518,,,,,2026-05-02; Sat May 02 2026 00:00:00 GMT-0400 (Eastern Daylight Time),,Sat May 02 2026 00:00:00 GMT-0400 (Eastern Daylight Time),,2,0,2,Fri May 08 2026 00:58:22 GMT-0400 (Eastern Daylight Time),Farm/Farmers Market,,
Galaxy Restaurant,201 Park Center Dr,Wadsworth,44281,OH,galaxy-restaurant-wadsworth-oh-44281,-81.724957,41.048239,Not Contacted Yet,Sun Aug 10 2025 00:00:00 GMT-0400 (Eastern Daylight Time),Monique Q,monikac@galaxyrestaurant.com,330-334-3663,,call second week in Nov,2,,,,,,,,1,2026-05-07T04:36:16.000Z,Restaurant,http://www.galaxyrestaurant.com/,"Off Tuesday,Wedensday,Thursday"
Game Time Bar & Grill,5153 Tuscarawas St W,Canton,44708,OH,game-time-bar-and-grill-canton-oh-44708,-81.447339,40.792374,Told No / Closed / No Music,08/28/2024,Brian,,330-956-5471,,Tt Brian no live music,,,,,,,,,,,Restaurant,,Previous CRM status: Closed and Not Booking
Gandalf's Pub & Restaurant 6757 Center Rd,Valley City,OH 44280,,OH,gandalf-s-pub-and-restaurant-6757-center-rd-valley-city-oh-44280,-81.931026,41.237692,Not Contacted Yet,09/19/2024,Sean) Mindy,Gandalfspub@gmail.com,330-483-1190,,,2,,,,,,,,2,2026-05-07T04:36:16.000Z,Restaurant,https://www.gandalfspub.com/,
Garage Bar Willoughby,37825 Vine St,Willoughby,44094,OH,garage-bar-willoughby-willoughby-oh-44094,-81.410932,41.642617,Needs Review,,,,440-510-8663,,,,,,,,,,,,,Pub/Bar,,
Generations Senior Living of Strongsville 18960 Falling Water Rd,Strongsville,OH 44136,,OH,generations-senior-living-of-strongsville-18960-falling-water-rd-strongsville-oh,-81.836326,41.323785,Needs Review,Fri Mar 01 2024 00:00:00 GMT-0500 (Eastern Standard Time),,,,,stop,3,,,,,,,,,,Other Venue,,
George's Lounge,229 Cleveland Ave NW,Canton,44702,OH,george-s-lounge-canton-oh-44702,-81.376287,40.799764,Not Contacted Yet,Wed Sep 10 2025 00:00:00 GMT-0400 (Eastern Daylight Time),done through FB,,330-452-0029,,,4,,,,,,,,1,2026-05-07T04:36:16.000Z,Other Venue,,
German's Villa,3330 Liberty Ave,Vermilion,44089,OH,german-s-villa-vermilion-oh-44089,-82.312179,41.424887,Needs Review,,,,440-967-1770,,,,,,,,,,,,,Other Venue,,
Gervasi Vineyard 1700 55th St NE,Canton,OH 44721,,OH,gervasi-vineyard-1700-55th-st-ne-canton-oh-44721,-81.352472,40.859779,Not Contacted Yet,08/19/2025,Shawn Allen   Sent email,sallen@gervasiwineyard.com,330-497-1000,,Tt Shawn,1,,,,,,,,3,2026-05-07T04:36:16.000Z,Other Venue,https://www.gervasivineyard.com/,
Ghost Tree Brewing Company,223 Church St,Amherst,44001,OH,ghost-tree-brewing-company-amherst-oh-44001,-82.22499,41.398077,Needs Review,,,,440-984-3103,,,5,,,,,,,,,,Brewery,http://ghosttreebrewing.com/,
Giant Eable Market Garden 15919 Pearl Rd,Strongsville,OH 44136,,OH,giant-eable-market-garden-15919-pearl-rd-strongsville-oh-44136,-81.835124,41.300359,Not Contacted Yet,Mon Jul 01 2024 00:00:00 GMT-0400 (Eastern Daylight Time),Carley,,,,,3,,,,,,,,1,2026-05-07T04:36:16.000Z,Farm/Farmers Market,,
Giant Eable Market Garden 2687 State Rd,Cuyahoga Falls,OH 44223,,OH,giant-eable-market-garden-2687-state-rd-cuyahoga-falls-oh-44223,-81.508458,41.146045,Not Contacted Yet,04/14/2025,Sheree,Sheree,330-928-6669,,,,,,,,,,,,,Farm/Farmers Market,Sheree.dupratt@gianteagle.com,
Gibbs Butcher and Brews 8154 Columbia Rd,Olmsted Falls,OH 44138,,OH,gibbs-butcher-and-brews-8154-columbia-rd-olmsted-falls-oh-44138,-81.901765,41.373546,Needs Review,Wed Dec 04 2024 00:00:00 GMT-0500 (Eastern Standard Time),,,440-793-6700,,stop,4,,,,,,,,1,2026-05-07T04:36:16.000Z,Brewery,https://www.gibbsbutcherbrews.com/,
Gideon Owen,3845 E Wine Cellar Rd,Port Clinton,43452,OH,gideon-owen-port-clinton-oh-43452,-82.859091,41.531953,Needs Review,Thu May 08 2025 00:00:00 GMT-0400 (Eastern Daylight Time),,Info@gideonowenwine.com,419-797-4445,,Card drop off,4,,,,,,,,1,2026-05-07T04:36:16.000Z,Other Venue,,
Glenwillow Grille 29765 Pettibone Rd,Solon,OH 44139,,OH,glenwillow-grille-29765-pettibone-rd-solon-oh-44139,-81.46797,41.356933,Not Contacted Yet,Mon Feb 10 2025 00:00:00 GMT-0500 (Eastern Standard Time),Paula  216-536-9101,contact@brewsters-cbp.com,440-786-0100,,,3,,,,,,,,,,Restaurant,,
Grab N Go Beverage • Drivethru & Pub 236 N State Rd,Medina,OH 44256,,OH,grab-n-go-beverage-drivethru-and-pub-236-n-state-rd-medina-oh-44256,-81.878297,41.143018,Told No / Closed / No Music,Mon Jul 01 2024 00:00:00 GMT-0400 (Eastern Daylight Time),Dave,,,,stop,4,,,,,,,,2,2026-05-07T04:36:16.000Z,Pub/Bar,,Previous CRM status: Closed and Not Booking
Grand River Cellars 5750 S Madison Rd,Madison,OH 44057,,OH,grand-river-cellars-5750-s-madison-rd-madison-oh-44057,-81.050939,41.718995,Not Contacted Yet,08/21/2024,Kathleen.  Cindy,Grcinfo@grandrivercellars.com,440-298-9838,,stop,4,,,,,,,,,,Other Venue,http://www.grandrivercellars.com/,
in a Glass 575 Market Ave N #1545,Canton,OH 44702,,OH,in-a-glass-575-market-ave-n-1545-canton-oh-44702,-81.373653,40.801742,Open Microphone,12/19/2023,,tkjorgensen@gmail.com,330-453-9463,,email,3,,,,,,,,1,2026-05-07T04:36:16.000Z,Farm/Farmers Market,,Open microphone
Green Valley Brewing Co.,53 Milford Dr,Hudson,44236,OH,green-valley-brewing-co-hudson-oh-44236,-81.446639,41.237841,Not Contacted Yet,04/30/2025,Paddy/ tt Paddy / check in Jan,Paddy@greenvalley.beer,234-602-2006,,Call first week in May,1,,,,,,,,3,2026-05-07T04:36:16.000Z,Brewery,http://www.greenvalley.beer/,
Greene Eagle Winery 2576 Davis Peck Rd,Cortland,OH 44410,,OH,greene-eagle-winery-2576-davis-peck-rd-cortland-oh-44410,-80.72587,41.432766,Played in the Past,02/17/2024,,,330-583-9463,,stop/ pm,2,,2024-00-11,,2024-00-11,,1,,2,2026-05-07T04:36:16.000Z,Winery,,"Played at start, no one showed up no music just guitar"
Grey Hawk Golf Club & The Nest Restaurant,665 US Grant St,Lagrange,44050,OH,grey-hawk-golf-club-and-the-nest-restaurant-lagrange-oh-44050,-82.102485,41.250657,Needs Review,,,,440-355-4844,,,2,,,,,,,,,,Other Venue,http://www.greyhawkgolf.com/,
Grindstone Tap House 826 Front St,Berea,OH 44017,,OH,grindstone-tap-house-826-front-st-berea-oh-44017,-81.852965,41.3874,Open Microphone,,,,440-234-3455,,,3,,,,,,,,1,2026-05-07T04:36:16.000Z,Other Venue,,Open microphone
Halliday's Winery 2400 NE River Rd,Lake Milton,OH 44429,,OH,halliday-s-winery-2400-ne-river-rd-lake-milton-oh-44429,-80.969093,41.124742,Played in the Past,Sat Jun 08 2024 00:00:00 GMT-0400 (Eastern Daylight Time),Jess,Hallidayswinery@gmail.com,,,stop,4,,2025-01-11 6:00pm ET | COMPLETED | Halliday Winery | 6huhsf04mrhbbm404usvahak8s@google.com; 2025-04-18 6:00pm ET | COMPLETED | Halliday Winery | 30csongn7h5a13ornubpse8bd3@google.com; 2025-11-28 6:00pm ET | COMPLETED | Halliday Winery | 63c17246rnk7rkqml5oo8sguha@google.com; 2026-01-16 6:00pm ET | COMPLETED | Halliday Winery | 5risdovs5pdcc8ug93njbmicg2@google.com,,Fri Jan 16 2026 00:00:00 GMT-0500 (Eastern Standard Time),,4,,4,2026-05-08T02:35:41.539Z,Winery,,
Hans’ Place,6011 Old Rte 39 NW,Dover,44622,OH,hans-place-dover-oh-44622,-81.573215,40.510597,Needs Review,,,,330-343-3884,,,3,,,,,,,,,,Other Venue,http://www.hansplaceohio.com/,
Happersfield Winery 6387 OH-307,Geneva,OH 44041,,OH,happersfield-winery-6387-oh-307-geneva-oh-44041,-80.982211,41.759512,Not Contacted Yet,Fri Oct 10 2025 00:00:00 GMT-0400 (Eastern Daylight Time),Patty Messenger,,440-466-4739,,,3,,,,,,,,,,Winery,,
Happy Moose Bar and Grill,7693 Reynolds Rd,Mentor,44060,OH,happy-moose-bar-and-grill-mentor-oh-44060,-81.37828,41.661818,Needs Review,,,,440-953-9464,,,,,,,,,,,,,Restaurant,,
Hartford Hill Winery 3864 Bushnell Campbell Rd,Fowler,OH 44418,,OH,hartford-hill-winery-3864-bushnell-campbell-rd-fowler-oh-44418,-80.598166,41.324055,Needs Review,,,,,,stop,3,,,,,,,,,,Winery,,
Harvest Saloon 15147 Pearl Rd,Strongsville,OH 44136.  CLoSED,,OH,harvest-saloon-15147-pearl-rd-strongsville-oh-44136,-81.835131,41.305555,Told No / Closed / No Music,,,,,,stop,4,,,,,,,,,,Other Venue,,Previous CRM status: Closed and Not Booking
Haymakers Farmers' Market,350 Franklin Ave,Kent,44240,OH,haymakers-farmers-market-kent-oh-44240,-81.359926,41.151016,Played in the Past,,,,330-422-8314,,,,,2024-10-12 | COMPLETED | JustDeeDeeMusic Live @ Haymaker Farmers' Market | 217 N Mantua St; 2026-05-02 10:00am ET | COMPLETED | Haymaker Farmers' Market Music | 4jlqoo3fts3p1lg6vd2acvdnev@google.com; Kent; OH 44240 | historical-2024-10-12-haymaker-farmers-market-justdeedeemusic-live-haymaker-farmers-market-60,,Sat May 02 2026 00:00:00 GMT-0400 (Eastern Daylight Time),,2,,2,2026-05-08T02:35:41.539Z,Farm/Farmers Market,,
Heritage Farms,6050 Riverview Rd,Peninsula,44264,OH,heritage-farms-peninsula-oh-44264,-81.554981,41.238758,Needs Review,Wed Sep 10 2025 00:00:00 GMT-0400 (Eastern Daylight Time),,,330-657-2330,,Mess.,2,,,,,,,,1,2026-05-07T04:36:16.000Z,Farm/Farmers Market,http://heritagefarms.com/,
HI and DRY Bowling & Beer 2221 Professor Ave,Cleveland,OH 44113,,OH,hi-and-dry-bowling-and-beer-2221-professor-ave-cleveland-oh-44113,-81.686742,41.481729,Not Contacted Yet,Sun Mar 03 2024 00:00:00 GMT-0500 (Eastern Standard Time),Mark Bailey,,646-234-3476 & 216-566-9463,,stop,3,,,,,,,,,,Other Venue,Www.hianddrycleveland.com,
Hibachi Mexican Grill,3202 Lincoln Way E,Massillon,44646,OH,hibachi-mexican-grill-massillon-oh-44646,-81.474929,40.79532,Needs Review,,,,330-880-0240,,,,,,,,,,,,,Restaurant,,
Hidden Beach Bar,530 Hidden Beach Rd,Lakeside Marblehead,43440,OH,hidden-beach-bar-lakeside-marblehead-oh-43440,-82.767824,41.540384,Not Contacted Yet,5/25/2024,Heather,,,,,,,,,,,,,,,Pub/Bar,,
High & Low Winery + Bistro 588 Medina Rd,Medina,OH 44256,,OH,high-and-low-winery-bistro-588-medina-rd-medina-oh-44256,-81.708011,41.135995,Not Contacted Yet,09/25/2025,Kate,Info@highandlowwinery.com,,,email,4,,,,,,,,3,2026-05-07T04:36:16.000Z,Winery,,
HiHO Brewing Co 1707 Front St,Cuyahoga Falls,OH 44221,,OH,hiho-brewing-co-1707-front-st-cuyahoga-falls-oh-44221,-81.485233,41.128009,Not Contacted Yet,05/16/2024,amber Blazff,amber@hihobrewingco.com,,,email,2,,,,,,,,2,2026-05-07T04:36:16.000Z,Brewery,,
Hillside Tavern,LLC,2863 Waterloo Rd,,OH,hillside-tavern-mogadore-oh-44260,-81.289639,41.029106,Not Contacted Yet,04/21/2024,Crystal/ contact via messenger,,330-769-6439,,,1,,,,,,,,,,Pub/Bar,http://www.hillsiderandolph.com/,
Hofbräuhaus Cleveland,1550 Chester Ave,Cleveland,44114,OH,hofbr-uhaus-cleveland-cleveland-oh-44114,-81.681208,41.50313,Needs Review,,,,216-621-2337,,,,,,,,,,,,,Other Venue,,
Hog Heaven of New Philadelphia,1290 W High Ave,New Philadelphia,44663,OH,hog-heaven-of-new-philadelphia-new-philadelphia-oh-44663,-81.473458,40.493313,Played in the Past,,,,330-308-8040,,,,,2024-11-20; Wed Nov 20 2024 00:00:00 GMT-0500 (Eastern Standard Time),,Wed Nov 20 2024 00:00:00 GMT-0500 (Eastern Standard Time),,2,0,2,Fri May 08 2026 00:58:22 GMT-0400 (Eastern Daylight Time),Other Venue,,
Hoodletown Brewing Co,424 W 3rd St,Dover,44622,OH,hoodletown-brewing-co-dover-oh-44622,-81.480982,40.51845,Needs Review,,,,330-365-9245,,,3,,,,,,,,,,Brewery,https://hoodletown.com,
Hoodletown Brewing Company,424 W 3rd St,Dover,44622,OH,hoodletown-brewing-company-dover-oh-44622,-81.480982,40.51845,Needs Review,,,,330-365-9245,,,,,,,,,,,,,Brewery,,
Hop Brothers Brewing 32650 Lorain Rd,North Ridgeville,OH 44039,,OH,hop-brothers-brewing-32650-lorain-rd-north-ridgeville-oh-44039,-81.978953,41.383732,Told No / Closed / No Music,05/20/2024,Dave /call @11:30,HopBrothersBrewing@gmail.com,,,email/ttalex mm,2,,,,,,,,3,2026-05-07T04:36:16.000Z,Brewery,,Previous CRM status: Closed and Not Booking
Hop Tree Brewing,1297 Hudson Gate Dr,Hudson,44236,OH,hop-tree-brewing-hudson-oh-44236,-81.4483,41.208725,Told No / Closed / No Music,03/23/2024,Taylor /greg,Visit@hoptreebrewing.com,3303420060,,"email, messanger",5,,,,,,,,3,2026-05-07T04:36:16.000Z,Brewery,https://www.hoptreebrewing.com/,Previous CRM status: Closed and Not Booking
Hoppy Dude Brews 1369 Ridge Rd,Hinckley,OH 44233,,OH,hoppy-dude-brews-1369-ridge-rd-hinckley-oh-44233,-81.744884,41.239314,Played in the Past,12/21/2023,Becky Riffle,Info@hoppydudebrews.com,330-278-1072,,stop,1,,2024-02-17 | COMPLETED | JDDM Live @ Hoppy Dude Brews | 1369 Ridge Rd; 2024-04-20 | COMPLETED | JustDeeDeeMuisc Live @ Hoppy Dude Brews | 1369 Ridge Rd; 2024-10-04 | COMPLETED | JustDeeDeeMusic Live @ Hoppy Dude Brews | 1369 Ridge Rd; 2025-09-06; 2025-09-06 6:00pm ET | COMPLETED | Hoppy Dude Brews | 80043F15-56EA-4672-B45E-CDDF835D3A4E; Hinckley; OH 44233 | historical-2024-02-17-hoppy-dude-brews-jddm-live-hoppy-dude-brews-6; OH 44233 | historical-2024-04-20-hoppy-dude-brews-justdeedeemuisc-live-hoppy-dude-brews-13; OH 44233 | historical-2024-10-04-hoppy-dude-brews-justdeedeemusic-live-hoppy-dude-brews-56,,OH 44233 | historical-2024-10-04-hoppy-dude-brews-justdeedeemusic-live-hoppy-dude-brews-56,,9,0,9,Fri May 08 2026 00:58:22 GMT-0400 (Eastern Daylight Time),Brewery,,
Hundley Cellars,6451 OH-307,Geneva,44041,OH,hundley-cellars-geneva-oh-44041,-80.985121,41.759518,Not Contacted Yet,Sat Mar 08 2025 00:00:00 GMT-0500 (Eastern Standard Time),Gerry mainly blues,,440-361-3088,,visit,,,,,,,,,2,2026-05-07T04:36:16.000Z,Other Venue,,
Ignite Brewing Company 1255 N Carpenter Rd Suite 100,Brunswick,OH 44212,,OH,ignite-brewing-company-1255-n-carpenter-rd-suite-100-brunswick-oh-44212,-81.80798,41.241741,Not Contacted Yet,0605/2024,Joey / Jordan MKT,Jordan@ignite.beer,,,email,2,,,,,,,,6,2026-05-07T04:36:16.000Z,Brewery,,
Ignite Brewing Company 600 W Tuscarawas Ave,Barberton,OH 44203,,OH,ignite-brewing-company-600-w-tuscarawas-ave-barberton-oh-44203,-81.611607,41.012865,Needs Review,Sat Feb 01 2025 00:00:00 GMT-0500 (Eastern Standard Time),,,,,stop,2,,,,,,,,,,Brewery,,
Immigrant Son Brewery,18120 Sloane Ave,Lakewood,44107,OH,immigrant-son-brewery-lakewood-oh-44107,-81.823123,41.486296,Needs Review,,,,216-600-4483,,,3,,,,,,,,,,Brewery,https://immigrantsonbrewing.com,
In the Weeds,13570 Ridge Rd,North Royalton,44133,OH,in-the-weeds-north-royalton-oh-44133,-81.73583,41.316817,Not Contacted Yet,,Jorden,intheweedscle@gmail.com,,,stop,4,,,,,,,,,,Other Venue,,
Jamestown Tavern,902 W Main St,Lakeside Marblehead,43440,OH,jamestown-tavern-lakeside-marblehead-oh-43440,-82.735518,41.53977,Not Contacted Yet,Mon Feb 10 2025 00:00:00 GMT-0500 (Eastern Standard Time),Buffy,Messenger,419-798-5615,,,,,,,,,,,,,Pub/Bar,,
Jednota Lanes Bowling Center,485 Morgan Ave,Akron,44311,OH,jednota-lanes-bowling-center-akron-oh-44311,-81.511412,41.05529,Needs Review,,,,330-773-3550,,,,,,,,,,,,,Other Venue,,
Jimmy Bukkett's,2812 Co Rd 198,Fremont,43420,OH,jimmy-bukkett-s-fremont-oh-43420,-83.063195,41.420047,Needs Review,,,,,,,,,,,,,,,,,Other Venue,,
Joey's Italian Grille,2731 Hubbard Rd,Madison,44057,OH,joey-s-italian-grille-madison-oh-44057,-81.048451,41.800738,Needs Review,,,,440-428-5191,,,,,,,,,,,,,Restaurant,,
John Christ Winery,32421 Walker Rd.  Avon Lake,OH  44012,,OH,john-christ-winery-32421-walker-rd-avon-lake-oh-44012,-82.00394,41.492953,Not Contacted Yet,08/21/2024,Zak,,440-933-9672,,Stop. Lm,,,,,,,,,2,2026-05-07T04:36:16.000Z,Winery,,
Johnny J's Pub & Grille Strongsville,15323 Pearl Rd,Strongsville,44136,OH,johnny-j-s-pub-and-grille-strongsville-strongsville-oh-44136,-81.835138,41.304485,Not Contacted Yet,11/14/2025,Bear,,,,,,,,,,,,,2,2026-05-07T04:36:16.000Z,Restaurant,,
Johnny J's Pub Medina,925 N Court St,Medina,44256,OH,johnny-j-s-pub-medina-medina-oh-44256,-81.863403,41.150681,Not Contacted Yet,11/14/2024,Drew,contactus@johnnyjspub.com,330-721-0082,,,3,,,,,,,,,,Pub/Bar,https://johnnyjspub.com/,Played once October 2024
Johnny Malloy's Irish Sports Pub,1038 N Court St,Medina,44256,OH,johnny-malloy-s-irish-sports-pub-medina-oh-44256,-81.862724,41.154364,Needs Review,12/30/2023,,Johnnymalloys@gmail.com,,,,3,,,,,,,,1,2026-05-07T04:36:16.000Z,Pub/Bar,,
